customer_id,age,region,customer_type,total_purchases,total_spent,avg_purchase_value,satisfaction_score,account_status,referral_source
33,75,Southeast,Platinum,11,4809.94,306.33,2.7,Active,Social Media
34,39,Southwest,Bronze,40,7459.71,293.42,4.1,Inactive,Online
35,78,Southeast,Silver,28,4850.21,242.43,2.4,Active,Online
36,61,Southwest,Platinum,69,3610.22,427.69,4.2,Active,Advertisement
37,42,West,Silver,50,4748.91,333.07,1.4,Active,Social Media
38,66,Southwest,Bronze,22,8486.71,393.11,3.8,Active,Referral
39,44,Southeast,Bronze,30,9904.32,66.61,2.9,Inactive,Social Media
40,76,West,Gold,20,6311.43,34.45,3.8,Active,Store
41,80,Northeast,Bronze,23,7934.44,23.98,3.1,Active,Referral
42,59,Midwest,Platinum,71,144.89,82.13,1.5,Active,Social Media
43,45,Southeast,Gold,8,8803.64,336.83,2.9,Suspended,Store
44,77,Southeast,Bronze,21,9540.5,252.07,4.9,Active,Social Media
45,33,Southeast,Silver,3,5751.69,378.6,4.0,Active,Referral
46,32,West,Bronze,76,7538.05,103.95,2.2,Active,Social Media
47,79,Northeast,Bronze,97,5127.45,189.81,4.8,Inactive,Referral
48,79,Southwest,Gold,2,2862.04,445.36,4.1,Inactive,Store
49,64,Northeast,Silver,100,8522.48,468.5,2.5,Active,Referral
50,79,West,Bronze,27,5968.37,461.65,3.4,Active,Referral
51,68,Southeast,Gold,89,5793.83,410.97,2.7,Active,Social Media
52,61,Midwest,Bronze,97,6591.32,347.24,1.4,Active,Online
53,72,Southeast,Silver,14,8560.03,457.7,4.2,Active,Advertisement
54,69,Southwest,Silver,7,7319.06,359.95,1.8,Active,Referral
55,74,Midwest,Bronze,47,2111.24,477.43,2.8,Active,Store
56,20,Southeast,Platinum,98,4668.24,22.15,3.8,Inactive,Referral
57,54,Midwest,Silver,87,9802.98,461.6,4.7,Inactive,Store
58,68,Northeast,Silver,51,5545.61,282.31,1.3,Active,Store
59,24,West,Silver,54,9382.45,64.78,2.6,Active,Social Media
60,38,Southeast,Bronze,36,8133.69,115.31,3.5,Active,Social Media
61,26,Southwest,Bronze,3,6660.23,427.56,4.1,Active,Referral
62,56,Northeast,Silver,54,3493.65,258.0,4.7,Active,Store
63,35,Southeast,Platinum,11,3043.19,491.58,1.0,Inactive,Social Media
64,21,Northeast,Gold,18,6434.21,67.59,3.5,Inactive,Social Media
65,42,Southwest,Bronze,78,4325.61,212.13,1.0,Inactive,Social Media
66,77,Southeast,Silver,56,7987.54,172.62,4.1,Active,Social Media
67,31,Southwest,Bronze,93,7604.57,262.91,1.6,Inactive,Store
68,67,Midwest,Bronze,36,3121.3,320.38,4.6,Inactive,Store
69,75,Southwest,Silver,75,7027.29,334.2,1.6,Active,Social Media
70,26,Midwest,Silver,82,4945.5,10.63,4.1,Suspended,Social Media
71,43,Southeast,Bronze,97,3232.92,53.59,2.2,Inactive,Referral
72,70,Midwest,Silver,6,4129.67,27.18,3.2,Inactive,Social Media
73,19,Southeast,Gold,91,8953.52,433.65,3.4,Active,Advertisement
74,37,Southeast,Bronze,54,3595.18,163.51,1.8,Active,Online
75,45,West,Gold,27,2873.99,189.86,2.2,Inactive,Online
76,64,Southeast,Bronze,92,3518.07,230.68,1.4,Active,Online
77,77,Midwest,Silver,36,2146.18,426.16,1.0,Inactive,Online
78,24,West,Gold,83,5446.35,16.94,2.0,Active,Advertisement
79,61,West,Silver,60,1474.36,68.12,3.1,Inactive,Online
80,78,Southeast,Platinum,74,8174.44,345.73,3.9,Active,Store
81,25,Southwest,Bronze,38,2255.8,482.31,4.2,Active,Social Media
82,64,Southwest,Silver,22,5980.55,324.97,1.3,Inactive,Social Media
83,52,West,Silver,51,1250.25,137.95,2.1,Active,Referral
84,31,Southeast,Silver,83,9784.53,264.73,4.1,Active,Referral
85,34,Southwest,Gold,83,4545.75,487.74,2.9,Inactive,Referral
86,53,Southeast,Gold,10,8221.71,268.76,1.7,Active,Online
87,67,Southeast,Gold,65,7686.48,193.02,2.6,Active,Online
88,57,West,Bronze,12,7136.93,197.88,2.1,Inactive,Online
89,21,West,Bronze,76,8273.65,483.85,1.2,Active,Referral
90,19,Northeast,Silver,40,1004.64,362.27,4.1,Active,Online
91,79,Southwest,Silver,48,6784.97,346.71,2.2,Inactive,Referral
92,23,Southwest,Platinum,14,2658.27,123.71,4.8,Active,Social Media
93,71,Southwest,Bronze,55,7858.72,284.15,4.6,Inactive,Store
94,59,Midwest,Bronze,53,9568.69,184.81,3.9,Active,Store
95,21,Southeast,Silver,30,9014.9,127.7,2.3,Active,Social Media
96,71,West,Gold,60,1149.52,448.82,2.1,Active,Online
97,46,Southwest,Platinum,57,3695.52,197.75,2.9,Active,Social Media
98,80,Northeast,Bronze,86,3643.23,148.57,2.4,Suspended,Online
99,35,Southwest,Bronze,59,1222.96,466.54,4.6,Active,Referral
100,43,Southeast,Silver,52,981.26,106.7,1.5,Active,Referral
101,61,Southeast,Bronze,85,3848.9,375.3,3.9,Inactive,Online
102,51,West,Platinum,60,9920.72,329.85,3.4,Inactive,Online
103,27,Midwest,Silver,79,5689.43,461.04,4.2,Suspended,Advertisement
104,79,West,Bronze,41,6217.82,417.7,3.2,Active,Store
105,53,Southwest,Bronze,28,4710.19,355.59,3.5,Active,Referral
106,31,Northeast,Bronze,83,6623.31,164.14,4.9,Active,Social Media
107,48,West,Gold,91,9566.62,252.83,1.4,Active,Social Media
108,65,Midwest,Bronze,26,5886.98,472.8,1.4,Active,Online
109,32,West,Bronze,43,650.38,21.37,2.6,Active,Store
110,25,Southeast,Platinum,92,4928.91,399.22,2.9,Inactive,Advertisement
111,31,Southwest,Bronze,4,9927.51,133.39,1.8,Active,Store
112,40,Southwest,Gold,51,3874.03,100.66,1.3,Active,Store
113,77,Southwest,Bronze,52,5938.81,123.79,1.1,Inactive,Social Media
114,74,Southwest,Silver,51,1066.37,39.28,4.1,Active,Store
115,79,Southwest,Bronze,37,1411.8,496.07,2.9,Inactive,Advertisement
116,57,Southwest,Bronze,43,8746.81,436.24,4.4,Inactive,Online
117,38,Northeast,Silver,52,3003.45,265.32,2.4,Active,Social Media
118,33,Midwest,Bronze,1,3054.51,360.4,3.8,Active,Store
119,62,Southwest,Silver,53,3872.13,282.73,3.0,Active,Referral
120,35,Midwest,Bronze,83,9664.79,407.67,3.4,Inactive,Social Media
121,64,Southwest,Silver,76,843.9,423.93,2.5,Active,Advertisement
122,70,West,Platinum,89,8187.64,124.07,1.3,Active,Online
123,41,Southwest,Bronze,34,3415.58,235.28,4.8,Active,Advertisement
124,43,Southeast,Bronze,45,8494.68,321.08,4.3,Active,Online
125,42,Northeast,Gold,71,9917.56,489.44,2.2,Suspended,Online
126,77,West,Silver,91,3486.67,344.52,4.8,Inactive,Online
127,77,West,Bronze,78,1293.56,449.84,2.2,Active,Advertisement
128,77,Southeast,Silver,54,1443.75,424.59,2.8,Active,Social Media
129,62,Southwest,Bronze,71,7587.41,295.21,4.0,Active,Online
130,58,Northeast,Bronze,10,1449.22,447.89,2.2,Inactive,Store
131,46,West,Platinum,28,2604.22,194.94,2.3,Active,Online
132,32,Northeast,Gold,68,2043.98,195.85,2.6,Suspended,Social Media
133,62,West,Silver,62,3556.79,392.67,2.9,Active,Referral
134,18,Southwest,Bronze,46,743.67,75.93,1.5,Active,Online
135,42,West,Bronze,6,8567.42,159.85,1.1,Active,Social Media
136,24,West,Gold,63,8601.46,308.2,4.7,Active,Store
137,26,Midwest,Bronze,81,4129.33,215.83,2.4,Inactive,Social Media
138,41,Southwest,Bronze,63,6120.88,470.95,1.4,Active,Store
139,18,Southeast,Bronze,91,6419.52,479.67,4.0,Suspended,Referral
140,61,Southeast,Silver,11,7492.58,256.26,2.2,Inactive,Store
141,25,Southwest,Bronze,11,5206.9,274.14,1.7,Inactive,Online
142,41,Southeast,Bronze,35,5103.36,365.07,4.9,Active,Referral
143,80,Southwest,Gold,28,6313.04,234.06,4.7,Active,Social Media
144,28,Southeast,Silver,10,7030.48,103.15,1.4,Active,Social Media
145,68,Midwest,Bronze,52,3466.9,376.01,4.6,Suspended,Social Media
146,34,Southeast,Gold,69,3303.7,371.52,4.6,Active,Store
147,25,West,Bronze,84,2697.18,130.04,3.5,Active,Advertisement
148,52,Southwest,Silver,73,5488.47,418.13,3.1,Suspended,Store
149,52,Northeast,Silver,95,3601.56,310.69,1.9,Active,Referral
150,50,Northeast,Bronze,46,5403.13,125.79,1.5,Active,Online
151,76,Southwest,Bronze,32,4059.85,329.5,3.4,Active,Social Media
152,22,Midwest,Gold,80,8367.34,124.47,4.3,Inactive,Store
153,59,Southeast,Platinum,66,731.3,139.96,3.8,Active,Referral
154,56,Midwest,Silver,42,5722.11,425.52,1.7,Inactive,Online
155,75,Northeast,Bronze,17,5756.24,465.45,2.2,Active,Online
156,58,Southwest,Bronze,73,3837.17,135.87,3.2,Inactive,Online
157,45,Southwest,Bronze,52,4210.21,464.75,3.5,Active,Referral
158,24,Midwest,Bronze,38,8001.31,127.01,1.3,Active,Online
159,26,Midwest,Silver,71,2806.74,67.46,3.5,Inactive,Social Media
160,25,Southeast,Silver,33,8714.04,38.53,3.9,Active,Social Media
161,29,West,Bronze,36,8963.43,128.64,1.7,Active,Social Media
162,51,West,Bronze,40,6506.19,198.77,2.0,Active,Store
163,50,Southeast,Silver,96,7728.58,464.5,2.0,Active,Store
164,65,West,Bronze,48,6129.48,128.66,4.8,Active,Social Media
165,72,Northeast,Platinum,9,5252.59,189.08,2.6,Active,Referral
166,40,West,Silver,39,9666.78,369.74,3.1,Active,Online
167,79,Southeast,Gold,17,2826.55,158.02,3.9,Active,Referral
168,41,West,Gold,24,1541.51,345.34,2.5,Active,Store
169,54,Southwest,Gold,40,2874.85,221.72,1.4,Inactive,Referral
170,52,Midwest,Bronze,35,6146.26,106.26,3.6,Inactive,Online
171,61,Northeast,Platinum,1,1851.83,369.69,3.7,Active,Social Media
172,57,Southwest,Bronze,82,9088.14,23.25,2.0,Active,Store
173,39,Southwest,Bronze,73,4110.24,153.24,1.1,Active,Online
174,44,Southeast,Silver,48,8499.63,184.53,3.7,Inactive,Store
175,52,Midwest,Bronze,66,2492.37,234.53,3.8,Active,Social Media
176,18,Midwest,Bronze,52,3131.68,343.14,1.1,Active,Online
177,52,Northeast,Bronze,18,592.23,235.11,3.8,Active,Online
178,54,Southeast,Bronze,25,2577.68,301.22,4.8,Active,Referral
179,64,Northeast,Silver,53,4903.14,301.93,1.7,Active,Social Media
180,31,West,Bronze,50,9461.37,192.9,3.1,Active,Social Media
181,20,Southwest,Silver,24,3889.03,467.65,3.8,Active,Online
182,18,Northeast,Platinum,16,6397.44,478.37,1.9,Active,Referral
183,22,Southwest,Silver,73,4277.1,295.11,4.0,Active,Referral
184,43,Southeast,Silver,60,467.92,45.13,4.5,Active,Referral
185,72,West,Platinum,45,5035.33,250.65,4.3,Active,Referral
186,80,Southeast,Bronze,54,659.14,100.37,2.0,Active,Referral
187,31,West,Silver,49,8837.0,246.78,4.2,Active,Online
188,56,West,Gold,74,7530.37,102.36,2.7,Inactive,Online
189,44,Southwest,Platinum,10,3786.51,354.89,2.1,Active,Online
190,26,Southeast,Silver,11,6402.19,49.41,1.7,Inactive,Social Media
191,32,Southeast,Bronze,39,1120.28,477.12,4.6,Active,Online
192,32,Northeast,Platinum,47,7025.55,105.73,2.7,Active,Online
193,43,Southeast,Bronze,55,8227.32,333.72,4.5,Suspended,Advertisement
194,59,Northeast,Bronze,7,8217.46,459.31,1.6,Inactive,Online
195,77,Midwest,Bronze,87,2842.78,131.46,4.1,Active,Online
196,30,Midwest,Silver,13,2637.46,467.81,1.4,Active,Referral
197,68,Midwest,Gold,86,5213.98,200.45,1.1,Active,Online
198,80,Southeast,Gold,55,9677.72,480.66,5.0,Inactive,Store
199,49,Southeast,Gold,53,9205.23,485.97,1.3,Inactive,Referral
200,56,Northeast,Bronze,99,3596.38,102.16,2.8,Inactive,Online
201,66,West,Silver,16,7798.3,417.23,4.5,Active,Advertisement
202,69,Northeast,Gold,44,9213.18,104.78,4.3,Inactive,Referral
203,78,Midwest,Silver,4,2609.26,120.96,2.9,Active,Store
204,49,Northeast,Platinum,2,8302.96,51.22,3.4,Active,Social Media
205,21,West,Gold,8,2678.96,86.7,3.5,Inactive,Advertisement
206,47,Southeast,Silver,83,3432.82,319.79,1.4,Suspended,Referral
207,54,Northeast,Bronze,19,1988.21,230.13,2.1,Active,Advertisement
208,40,Midwest,Silver,82,5070.8,397.56,2.2,Active,Store
209,56,Midwest,Platinum,20,8433.11,172.68,2.5,Active,Store
210,62,Southeast,Bronze,79,5280.52,484.63,2.1,Suspended,Store
211,32,Northeast,Gold,32,1234.4,34.44,2.0,Active,Referral
212,60,West,Bronze,4,2517.76,40.84,2.4,Active,Referral
213,46,Southeast,Silver,23,5628.62,353.67,2.5,Active,Store
214,53,Northeast,Silver,62,5831.87,444.89,2.9,Active,Referral
215,30,Southwest,Silver,78,5769.06,399.8,1.7,Active,Social Media
216,49,Midwest,Gold,25,770.03,250.01,4.2,Active,Online
217,24,West,Bronze,88,7536.96,142.12,4.4,Inactive,Social Media
218,76,West,Bronze,91,9094.28,16.59,2.0,Active,Online
219,68,West,Gold,32,5105.19,259.63,1.5,Active,Online
220,39,Midwest,Bronze,17,7188.29,243.06,3.9,Active,Social Media
221,45,Northeast,Silver,17,9140.15,178.68,4.7,Active,Online
222,19,Southeast,Bronze,37,6426.23,293.26,1.1,Active,Social Media
223,59,Northeast,Bronze,32,6743.26,367.12,1.1,Active,Social Media
224,62,Southeast,Silver,26,7214.04,353.44,1.7,Inactive,Online
225,79,West,Gold,48,2605.02,138.99,3.7,Active,Online
226,74,Northeast,Bronze,49,5826.78,296.8,4.9,Active,Online
227,70,West,Bronze,14,8421.75,82.9,4.0,Inactive,Social Media
228,23,Southwest,Bronze,76,2961.63,69.58,3.3,Active,Social Media
229,45,West,Silver,51,8971.7,395.07,3.8,Active,Referral
230,45,West,Bronze,97,6203.82,349.94,1.9,Active,Online
231,61,Southeast,Silver,67,4231.75,386.29,3.8,Inactive,Online
232,61,Southwest,Gold,98,6231.83,84.71,2.3,Active,Online
233,37,West,Silver,18,4018.6,458.16,1.9,Inactive,Advertisement
234,47,West,Bronze,94,8380.36,75.22,1.9,Inactive,Online
235,79,Southwest,Silver,24,4823.19,436.32,3.7,Active,Online
236,28,Southwest,Platinum,75,9012.13,182.67,4.1,Active,Social Media
237,75,Northeast,Bronze,75,5098.08,61.66,3.3,Active,Store
238,72,Southeast,Bronze,24,6603.68,150.52,1.3,Active,Referral
239,45,Southwest,Silver,32,9977.44,98.91,1.2,Active,Referral
240,42,Southwest,Bronze,59,1469.66,250.43,1.9,Active,Store
241,56,Midwest,Silver,36,7367.29,475.38,2.1,Inactive,Store
242,79,Southwest,Gold,91,1388.72,170.66,2.6,Inactive,Referral
243,50,Southeast,Silver,42,8388.66,309.93,1.3,Active,Online
244,18,West,Silver,8,5964.53,446.94,3.9,Inactive,Social Media
245,74,West,Silver,13,9381.6,318.74,3.8,Active,Online
246,44,West,Bronze,2,8659.57,187.48,2.4,Active,Referral
247,79,West,Bronze,68,748.72,495.51,3.3,Active,Store
248,74,Midwest,Gold,55,1373.03,101.83,1.4,Active,Store
249,69,Southwest,Platinum,25,6011.71,266.4,2.7,Inactive,Store
250,30,West,Gold,52,5183.15,400.39,4.4,Inactive,Store
251,58,Northeast,Platinum,40,1685.65,10.32,3.6,Active,Social Media
252,20,West,Bronze,81,1293.59,354.0,1.4,Active,Referral
253,56,Southwest,Bronze,20,5639.91,140.58,4.4,Active,Store
254,23,West,Bronze,38,489.22,93.17,3.7,Active,Store
255,25,Midwest,Bronze,79,8737.35,144.36,2.8,Active,Store
256,44,Southeast,Gold,22,8070.83,483.74,3.8,Active,Advertisement
257,26,Southeast,Platinum,92,7853.7,447.05,1.7,Active,Store
258,79,Southwest,Gold,73,159.97,114.74,3.2,Active,Referral
259,54,Southeast,Silver,57,476.41,67.34,3.5,Active,Social Media
260,50,Southeast,Bronze,68,5498.39,188.43,4.7,Active,Referral
261,68,Northeast,Bronze,74,9944.26,300.24,1.3,Active,Referral
262,59,Southwest,Bronze,28,3423.16,434.9,2.5,Inactive,Store
263,61,Southwest,Silver,61,3443.75,483.38,4.7,Active,Referral
264,41,Southeast,Silver,52,1342.78,378.07,1.9,Active,Store
265,32,Southeast,Platinum,44,6743.36,303.51,4.3,Active,Online
266,76,Southeast,Gold,26,6466.77,79.74,1.0,Active,Social Media
267,71,Midwest,Bronze,33,1013.22,46.27,1.1,Active,Social Media
268,49,West,Bronze,13,4674.12,302.05,2.3,Active,Referral
269,49,Midwest,Silver,40,6670.75,274.14,4.1,Inactive,Online
270,41,Southwest,Bronze,73,4935.16,424.58,1.4,Inactive,Referral
271,58,Northeast,Gold,59,6743.64,168.08,2.5,Inactive,Social Media
272,69,West,Silver,41,8162.7,29.45,1.5,Active,Online
273,66,Northeast,Bronze,50,6858.15,217.62,1.9,Inactive,Referral
274,79,Southwest,Silver,74,6161.14,484.9,3.0,Active,Online
275,66,Southwest,Silver,10,8535.9,399.83,2.3,Active,Social Media
276,75,Northeast,Gold,34,9005.89,26.55,1.8,Active,Referral
277,69,Northeast,Bronze,18,3888.86,438.59,2.6,Active,Store
278,29,Northeast,Gold,87,1732.5,241.13,3.8,Active,Referral
279,79,Southwest,Silver,64,8178.6,188.74,1.5,Active,Referral
280,56,Southeast,Gold,75,2137.53,179.9,2.9,Active,Referral
281,19,Northeast,Bronze,60,9289.51,301.62,2.1,Inactive,Store
282,20,West,Silver,46,228.78,269.99,2.5,Active,Advertisement
283,66,Southwest,Silver,13,9212.71,331.75,4.3,Active,Online
284,54,Midwest,Silver,66,5891.83,291.08,4.7,Active,Store
285,66,Midwest,Gold,51,7747.42,80.53,2.0,Inactive,Online
286,73,West,Silver,31,3984.93,136.05,3.5,Active,Referral
287,34,Southeast,Gold,79,9917.16,422.1,3.7,Active,Referral
288,76,Northeast,Bronze,9,2275.51,335.0,4.4,Active,Referral
289,66,Southwest,Gold,16,2643.44,229.72,4.6,Active,Referral
290,19,Northeast,Bronze,39,514.32,99.47,2.9,Inactive,Social Media
291,19,Southwest,Gold,67,9404.73,13.77,4.9,Inactive,Online
292,45,Midwest,Platinum,62,4560.29,162.82,4.9,Inactive,Social Media
293,71,Northeast,Bronze,14,6748.52,36.88,3.0,Active,Referral
294,40,West,Silver,96,6874.41,246.32,3.2,Active,Referral
295,54,Southeast,Silver,38,8745.02,412.68,3.7,Suspended,Online
296,49,West,Bronze,56,6649.25,149.85,2.5,Active,Social Media
297,50,Southeast,Silver,9,5620.21,425.4,3.6,Active,Store
298,18,Northeast,Bronze,70,7103.19,355.24,3.1,Inactive,Store
299,36,Northeast,Gold,96,7509.71,71.38,1.1,Active,Referral
300,79,Southeast,Gold,16,1859.28,325.84,4.4,Active,Referral
301,19,Midwest,Gold,75,1096.67,84.32,4.8,Active,Advertisement
302,70,Southwest,Silver,16,748.49,330.85,1.1,Active,Advertisement
303,61,West,Gold,15,3740.53,79.93,4.2,Inactive,Store
304,43,West,Bronze,77,4980.0,202.33,2.5,Active,Store
305,49,West,Silver,2,6156.5,287.63,3.3,Active,Store
306,23,Northeast,Silver,50,9580.35,34.68,3.0,Inactive,Store
307,49,West,Platinum,93,3307.88,85.12,3.2,Inactive,Store
308,72,Southwest,Gold,45,7608.74,167.0,3.0,Inactive,Advertisement
309,21,Southwest,Silver,54,5313.58,236.54,4.4,Inactive,Social Media
310,72,Southeast,Gold,98,2200.9,430.66,3.7,Active,Store
311,28,Northeast,Bronze,25,6153.05,101.76,2.7,Inactive,Online
312,73,Southwest,Gold,75,9671.76,180.26,3.8,Active,Advertisement
313,76,Midwest,Silver,30,1243.08,243.13,4.9,Inactive,Referral
314,34,Northeast,Bronze,80,5072.8,154.93,1.3,Active,Advertisement
315,80,Northeast,Silver,100,516.08,316.62,2.6,Active,Store
316,55,Southwest,Silver,71,3212.16,135.74,4.5,Active,Online
317,41,Midwest,Silver,18,6206.03,388.45,4.0,Inactive,Referral
318,22,Southeast,Silver,89,8410.57,257.53,4.7,Active,Social Media
319,69,Southwest,Silver,67,7303.28,52.29,1.2,Inactive,Online
320,51,Midwest,Gold,14,4628.57,317.23,4.5,Active,Social Media
321,23,Northeast,Gold,57,9092.23,288.93,4.2,Active,Store
322,39,Midwest,Bronze,77,3027.15,175.91,4.3,Inactive,Online
323,28,Northeast,Platinum,29,7539.83,15.47,3.4,Active,Referral
324,80,Southwest,Silver,47,4740.09,108.34,1.2,Active,Online
325,65,Southwest,Gold,55,8986.36,208.8,3.2,Inactive,Online
326,33,West,Silver,41,7974.33,107.96,2.6,Inactive,Social Media
327,50,West,Bronze,23,9014.7,292.97,3.1,Active,Store
328,26,West,Bronze,51,2142.48,359.04,4.0,Inactive,Online
329,77,Southwest,Gold,42,6681.5,429.45,3.4,Active,Online
330,76,Southeast,Silver,33,7384.63,327.02,2.2,Active,Online
331,23,Southwest,Gold,59,7424.14,347.61,3.4,Active,Advertisement
332,33,Midwest,Silver,82,5040.0,308.14,1.3,Active,Store
333,46,Southwest,Bronze,2,112.51,492.89,1.0,Active,Online
334,20,Southwest,Bronze,67,2614.31,137.89,2.6,Active,Store
335,37,Northeast,Gold,10,3233.01,140.47,4.0,Active,Advertisement
336,77,Northeast,Bronze,12,8520.37,71.9,4.3,Active,Social Media
337,76,Northeast,Gold,49,8408.86,247.99,3.2,Active,Referral
338,53,Southwest,Bronze,81,1046.8,57.12,4.5,Active,Social Media
339,36,Southeast,Gold,18,9498.36,142.37,1.5,Active,Store
340,43,Midwest,Bronze,43,1824.57,246.51,4.9,Active,Online
341,20,Midwest,Bronze,32,4143.59,479.22,4.7,Active,Advertisement
342,80,Southeast,Silver,37,2151.57,482.27,3.4,Active,Social Media
343,36,Southeast,Silver,2,8603.32,374.43,1.2,Active,Store
344,37,Midwest,Bronze,98,7494.02,200.73,2.8,Inactive,Referral
345,49,West,Platinum,64,3535.29,433.93,1.7,Active,Online
346,24,Northeast,Bronze,34,6818.79,438.97,3.5,Active,Social Media
347,69,Northeast,Silver,35,1843.67,456.0,1.8,Active,Referral
348,58,Midwest,Bronze,37,3822.97,323.61,2.9,Active,Store
349,50,Southeast,Bronze,38,3771.08,108.88,1.8,Active,Online
350,57,West,Silver,24,2379.37,54.63,1.7,Inactive,Online
351,56,Midwest,Bronze,63,8763.12,458.24,2.0,Active,Advertisement
352,35,Northeast,Gold,12,6788.46,37.22,1.1,Active,Referral
353,57,Southwest,Bronze,67,2799.39,154.99,3.9,Active,Social Media
354,18,Southeast,Gold,69,2421.21,248.61,2.2,Active,Social Media
355,28,Southwest,Bronze,74,179.53,20.77,3.8,Active,Advertisement
356,45,Midwest,Bronze,0,3465.82,454.39,3.6,Active,Advertisement
357,74,Northeast,Bronze,71,5267.71,150.69,1.3,Inactive,Referral
358,42,West,Gold,53,2777.11,23.97,2.2,Inactive,Advertisement
359,67,Southwest,Silver,97,7004.58,496.86,3.3,Inactive,Referral
360,40,West,Gold,8,4117.5,162.58,4.7,Active,Store
361,48,Northeast,Silver,35,3163.18,439.61,2.6,Active,Social Media
362,47,Southwest,Gold,36,9390.58,232.2,3.0,Active,Advertisement
363,59,West,Silver,58,2628.01,334.93,4.0,Inactive,Referral
364,52,West,Bronze,20,3982.58,128.13,4.2,Active,Referral
365,24,Southwest,Bronze,19,3822.91,256.41,4.7,Active,Store
366,77,Northeast,Silver,0,2411.98,136.25,3.0,Active,Referral
367,33,West,Silver,98,2174.77,476.03,1.8,Active,Store
368,43,Midwest,Bronze,58,3023.8,39.86,4.1,Inactive,Social Media
369,65,Southwest,Gold,27,8642.36,144.59,1.5,Active,Social Media
370,74,Southeast,Silver,70,7670.83,447.62,2.7,Active,Online
371,69,Southeast,Silver,55,6810.0,245.22,3.5,Inactive,Store
372,77,Northeast,Bronze,8,4571.03,304.04,3.8,Inactive,Online
373,66,Midwest,Silver,64,5077.54,329.33,3.9,Inactive,Social Media
374,19,West,Bronze,35,2671.39,44.75,1.8,Active,Online
375,18,Southeast,Bronze,97,743.16,18.69,4.9,Active,Social Media
376,65,Northeast,Gold,33,3310.41,469.54,1.7,Active,Referral
377,79,Midwest,Bronze,80,4955.84,143.04,1.4,Active,Online
378,29,Midwest,Bronze,31,573.13,196.35,3.7,Inactive,Social Media
379,22,Northeast,Bronze,65,882.33,344.23,4.6,Active,Online
380,54,Northeast,Silver,99,2630.25,125.79,3.2,Active,Referral
381,49,West,Bronze,24,3670.8,369.2,3.4,Active,Store
382,76,Northeast,Bronze,50,3933.17,234.54,3.2,Inactive,Referral
383,72,West,Silver,62,1178.86,429.74,1.2,Active,Online
384,26,West,Silver,89,2258.21,146.48,3.7,Active,Referral
385,58,Southwest,Platinum,44,2616.47,109.87,2.4,Suspended,Online
386,52,Midwest,Bronze,25,676.35,417.53,4.7,Active,Store
387,36,Midwest,Bronze,20,3261.0,169.9,1.7,Inactive,Online
388,65,Midwest,Silver,81,722.22,211.82,2.2,Inactive,Referral
389,33,Southwest,Bronze,92,7034.58,398.92,3.0,Inactive,Store
390,20,West,Gold,50,3860.48,321.43,2.9,Active,Advertisement
391,37,West,Silver,23,3267.52,226.45,2.6,Suspended,Online
392,41,Northeast,Bronze,91,1265.22,132.45,2.3,Active,Advertisement
393,71,Southwest,Gold,11,2265.04,384.46,1.6,Active,Online
